latitude,longitude,magnitude,deaths,affected,damages,type,risk
14.0,-91.0,8.0,2000.0,,25000.0,Earthquake,1
32.04,76.16,8.0,20000.0,,25000.0,Earthquake,1
33.05,71.4,8.0,20000.0,,100000.0,Earthquake,1
38.5,69.9,7.0,12000.0,,,Earthquake,1
44.05,6.14,6.0,46.0,,,Earthquake,0
36.0,4.0,6.0,12.0,,,Earthquake,0
-3.924,101.82,8.0,20.0,20.0,,Earthquake,0
28.0,104.0,7.0,1800.0,,,Earthquake,1
14.38,-90.22,6.0,2650.0,,,Earthquake,1
-7.0,116.0,7.0,15000.0,,,Earthquake,1
23.5,117.0,7.0,10000.0,,,Earthquake,1
36.888,105.606,9.0,180000.0,,25000.0,Earthquake,1
-28.553,-70.755,9.0,1000.0,,,Earthquake,1
31.295,100.75,7.0,5000.0,,,Earthquake,1
-1.29,-78.52,7.0,40.0,,,Earthquake,0
25.713,100.422,7.0,5000.0,,,Earthquake,1
-0.842,120.764,6.0,50.0,50.0,,Earthquake,0
37.645,102.489,8.0,40912.0,133894.0,,Earthquake,1
0.5,126.0,7.0,6.0,3075.0,,Earthquake,1
31.9,103.4,8.0,10000.0,,,Earthquake,1
6.1,94.7,7.0,9.0,20.0,,Earthquake,0
-0.557,118.881,8.0,,5630.0,,Earthquake,1
-36.305,-72.315,8.0,30000.0,58500.0,920000.0,Earthquake,1
5.552,-0.628,6.0,22.0,7630.0,,Earthquake,1
-31.432,-71.475,8.0,12.0,35.0,100000.0,Earthquake,0
-8.591,109.803,7.0,213.0,16096.0,,Earthquake,1
-31.372,68.436,7.0,10000.0,155000.0,100000.0,Earthquake,1
-26.5,-70.5,8.0,2.0,,,Earthquake,0
19.25,-69.0,8.0,73.0,,,Earthquake,1
-1.5,-78.2,7.0,6000.0,100000.0,20000.0,Earthquake,1
-38.0,-73.5,7.0,35.0,155.0,39000.0,Earthquake,0
-54.0,-71.0,8.0,6.0,18.0,5200.0,Earthquake,0
28.5,96.5,9.0,1500.0,,20000.0,Earthquake,1
-37.093,-72.866,8.0,12.0,40.0,500000.0,Earthquake,1
34.741,32.335,6.0,40.0,2600.0,,Earthquake,1
38.182,20.942,7.0,476.0,141277.0,100000.0,Earthquake,1
-22.1,-68.7,7.0,3.0,15.0,7310.0,Earthquake,0
36.283,1.467,7.0,1250.0,134250.0,6000.0,Earthquake,1
39.3,22.2,7.0,31.0,200.0,3150.0,Earthquake,0
30.0,101.8,8.0,39.0,113.0,,Earthquake,0
32.2,29.6,6.0,20.0,28.0,,Earthquake,0
36.664,25.957,8.0,53.0,100.0,,Earthquake,1
35.1,67.5,8.0,100.0,2000.0,25000.0,Earthquake,1
23.0,70.0,6.0,113.0,219.0,,Earthquake,1
-9.5,112.5,7.0,8.0,3361.0,,Earthquake,1
-38.143,-73.407,10.0,6000.0,2003000.0,550000.0,Earthquake,1
36.0,4.1,6.0,57.0,1250.0,,Earthquake,1
10.4,39.9,7.0,30.0,,,Earthquake,0
40.9,19.5,6.0,15.0,154.0,,Earthquake,0
5.173,-76.352,7.0,47.0,300.0,,Earthquake,0
38.8,-28.4,5.0,,1000.0,,Earthquake,0
-2.608,-125.952,8.0,71.0,15000.0,,Earthquake,1
-32.522,-71.233,7.0,400.0,20350.0,125000.0,Earthquake,1
35.7,4.4,6.0,2.0,49350.0,2000.0,Earthquake,1
39.4,24.0,6.0,38.0,30253.0,8000.0,Earthquake,1
-25.494,-70.55,8.0,4.0,3006.0,400.0,Earthquake,1
39.2,22.0,6.0,1.0,11050.0,4000.0,Earthquake,1
37.5,22.1,6.0,1.0,15123.0,14000.0,Earthquake,1
-3.7,119.3,6.0,71.0,100.0,,Earthquake,1
41.386,20.532,7.0,11.0,134.0,20000.0,Earthquake,0
2.849,-74.798,7.0,61.0,40200.0,600.0,Earthquake,1
43.2,-0.5,5.0,1.0,1100.0,,Earthquake,1
39.5,21.2,6.0,9.0,16583.0,5000.0,Earthquake,1
-8.965,113.017,6.0,54.0,8411.0,,Earthquake,1
17.412,73.885,7.0,177.0,52272.0,400.0,Earthquake,1
39.368,24.957,7.0,19.0,7618.0,600.0,Earthquake,1
-31.566,117.071,7.0,,4290.0,2600.0,Earthquake,1
0.157,119.802,8.0,200.0,,,Earthquake,1
22.317,111.8,6.0,3000.0,53810.0,,Earthquake,1
11.9,41.21,6.0,24.0,585.0,320.0,Earthquake,0
-3.201,118.904,7.0,64.0,6532.0,,Earthquake,1
24.185,102.543,7.0,10000.0,,,Earthquake,1
6.375,-77.438,7.0,,3006.0,400.0,Earthquake,1
-4.026,-80.542,7.0,29.0,88112.0,4000.0,Earthquake,1
21.7,73.0,5.0,26.0,200.0,,Earthquake,0
-32.601,-71.076,8.0,85.0,2348973.0,236400.0,Earthquake,1
10.679,-84.759,7.0,21.0,3745.0,200.0,Earthquake,1
28.4,104.1,7.0,20000.0,,,Earthquake,1
40.641,122.58,7.0,2000.0,,,Earthquake,1
32.455,78.43,7.0,47.0,,,Earthquake,0
36.61,67.79,6.0,50.0,90000.0,,Earthquake,1
39.57,117.978,8.0,242000.0,164000.0,5600000.0,Earthquake,1
0.782,79.804,7.0,10.0,,4000.0,Earthquake,0
15.324,-89.101,8.0,23000.0,4993000.0,1000000.0,Earthquake,1
-4.603,140.091,7.0,420.0,15000.0,25000.0,Earthquake,1
-8.17,114.888,7.0,573.0,454755.0,195000.0,Earthquake,1
-4.517,139.918,7.0,133.0,7000.0,,Earthquake,1
-11.164,118.378,8.0,185.0,3975.0,1200.0,Earthquake,1
-31.028,-67.767,7.0,70.0,40100.0,80000.0,Earthquake,1
40.739,23.229,6.0,50.0,600100.0,250000.0,Earthquake,1
40.5,142.5,8.0,18.0,24.0,,Earthquake,0
40.8,72.3,6.0,4562.0,125112.0,,Earthquake,1
39.09,42.3,6.0,3560.0,60000.0,,Earthquake,1
37.4,142.6,7.0,41.0,,,Earthquake,0
38.67,16.07,7.0,557.0,22100.0,,Earthquake,1
37.67,-122.48,8.0,700.0,84564.0,524000.0,Earthquake,1
23.6,170.5,7.0,1258.0,20452.0,,Earthquake,1
18.2,-76.8,7.0,1200.0,90000.0,30000.0,Earthquake,1
38.17,15.58,7.0,75000.0,150000.0,116000.0,Earthquake,1
33.55,48.48,8.0,5000.0,,,Earthquake,1
40.41,27.15,8.0,923.0,18195.0,,Earthquake,1
-14.2,-72.9,6.0,150.0,,,Earthquake,1
43.5,25.5,7.0,,,,Earthquake,0
39.2,139.8,7.0,94.0,1920.0,,Earthquake,1
42.02,13.26,8.0,29980.0,,60000.0,Earthquake,1
32.47,-115.33,6.0,6.0,,1000.0,Earthquake,0
8.29,124.4,8.0,100.0,,,Earthquake,1
18.06,-67.54,8.0,116.0,,29000.0,Earthquake,1
44.3,10.3,6.0,1400.0,,,Earthquake,1
35.413,139.298,8.0,143000.0,203733.0,600000.0,Earthquake,1
35.2,59.2,6.0,2200.0,,,Earthquake,1
31.922,35.633,6.0,268.0,,,Earthquake,1
35.632,135.013,7.0,3022.0,79540.0,40000.0,Earthquake,1
-41.55,172.25,8.0,17.0,,,Earthquake,0
37.8,57.8,7.0,3253.0,1121.0,,Earthquake,1
17.86,96.43,8.0,500.0,,,Earthquake,1
38.087,44.781,7.0,1360.0,,,Earthquake,1
40.922,15.377,6.0,1883.0,10000.0,5000.0,Earthquake,1
35.05,139.129,7.0,259.0,26122.0,,Earthquake,1
18.233,96.298,7.0,36.0,,,Earthquake,0
13.2,-85.7,6.0,1000.0,,15000.0,Earthquake,1
-39.659,176.42,7.0,256.0,11000.0,25000.0,Earthquake,1
11.117,161.11,8.0,50.0,,,Earthquake,0
33.62,117.97,6.0,116.0,,38500.0,Earthquake,1
39.224,144.622,8.0,3000.0,,,Earthquake,1
29.5,66.8,8.0,60000.0,25000.0,,Earthquake,1
24.3,124.3,6.0,3276.0,101588.0,,Earthquake,1
24.6,120.8,7.0,2746.0,156004.0,,Earthquake,1
39.508,33.872,7.0,149.0,800.0,,Earthquake,1
39.771,39.57,8.0,32962.0,,20000.0,Earthquake,1
39.7,10.4,6.0,13.0,,,Earthquake,0
39.209,27.164,6.0,60.0,68.0,,Earthquake,1
-10.5,-77.0,8.0,179.0,3500.0,,Earthquake,1
45.8,26.8,7.0,980.0,,10000.0,Earthquake,1
32.733,-115.5,7.0,9.0,,33000.0,Earthquake,0
22.408,99.814,7.0,15.0,,,Earthquake,0
40.87,36.732,7.0,3000.0,,,Earthquake,1
35.448,133.993,7.0,1400.0,23217.0,,Earthquake,1
-14.2,-71.5,5.0,200.0,,,Earthquake,1
40.916,33.562,8.0,4020.0,5000.0,40000.0,Earthquake,1
33.682,36.204,8.0,1223.0,80573.0,,Earthquake,1
40.696,32.992,8.0,3959.0,,,Earthquake,1
39.502,26.596,7.0,27.0,,,Earthquake,0
34.612,137.064,7.0,2306.0,22559.0,,Earthquake,1
24.927,63.601,8.0,4000.0,,25000.0,Earthquake,1
33.116,135.895,8.0,2000.0,,,Earthquake,1
53.492,-162.832,9.0,165.0,,25000.0,Earthquake,1
-8.41,-77.535,7.0,1400.0,,,Earthquake,1
39.826,54.648,7.0,400.0,,,Earthquake,1
39.3,41.2,6.0,840.0,,,Earthquake,1
33.621,58.643,7.0,400.0,,,Earthquake,1
-10.973,-74.725,8.0,233.0,,,Earthquake,1
36.5,136.0,7.0,5131.0,326000.0,1000000.0,Earthquake,1
10.5,122.0,8.0,72.0,,3500.0,Earthquake,1
37.95,58.32,7.0,110000.0,,25000.0,Earthquake,1
39.2,70.8,7.0,3500.0,,,Earthquake,1
39.0,40.5,7.0,320.0,355.0,,Earthquake,1
47.167,-122.617,7.0,8.0,,25000.0,Earthquake,0
-13.5,-72.0,6.0,83.0,200.0,,Earthquake,1
13.0,-87.5,6.0,500.0,,,Earthquake,1
13.3,-87.8,7.0,1100.0,,23000.0,Earthquake,1
40.8,33.4,7.0,54.0,150.0,,Earthquake,1
42.084,143.899,8.0,33.0,200.0,,Earthquake,0
36.5,35.5,5.0,20.0,,,Earthquake,0
39.9,41.7,6.0,103.0,250.0,,Earthquake,1
34.958,-118.998,8.0,12.0,200.0,60000.0,Earthquake,0
35.333,-118.917,6.0,2.0,270.0,10000.0,Earthquake,0
35.385,54.979,7.0,970.0,,,Earthquake,1
-3.552,-80.636,7.0,9.0,1020.0,,Earthquake,1
40.175,27.648,7.0,1200.0,50000.0,3570.0,Earthquake,1
13.0,123.9,7.0,13.0,101.0,,Earthquake,0
7.674,124.081,6.0,400.0,2000.0,5000.0,Earthquake,1
27.407,54.462,6.0,350.0,,,Earthquake,1
35.5,35.5,6.0,136.0,200.0,,Earthquake,1
16.5,-99.1,8.0,160.0,100.0,25000.0,Earthquake,1
36100.0,52700.0,7.0,2500.0,10000.0,15000.0,Earthquake,1
34.3,47.8,7.0,3000.0,5000.0,5000.0,Earthquake,1
45.5,99.5,8.0,1200.0,,,Earthquake,1
36.2,8.9,6.0,13.0,,,Earthquake,0
40.7,30.9,7.0,53.0,119.0,,Earthquake,1
34.4,47.9,7.0,191.0,984.0,,Earthquake,1
-16.5,-72.0,7.0,28.0,,,Earthquake,0
44.712,-111.215,7.0,28.0,,11000.0,Earthquake,0
18.22,-94.416,6.0,25.0,200.0,,Earthquake,0
30.45,-9.62,6.0,12000.0,25000.0,120000.0,Earthquake,1
-15.75,-72.75,8.0,63.0,200.0,,Earthquake,1
28.0,54.5,6.0,480.0,,20000.0,Earthquake,1
35.656,49.843,7.0,12000.0,103000.0,30000.0,Earthquake,1
41.4,15.5,6.0,16.0,30000.0,,Earthquake,1
